beta channel, neutron ToF, beta_time (s)
2, 194.599, 6.44452
3, 199.000, 6.46667
3, 194.318, 6.46667
3, 171.016, 6.47496
3, 144.140, 6.48106
2, 179.001, 6.48814
3, 183.289, 6.49769
2, 200.089, 6.49844
3, 186.188, 6.49918
2, 181.834, 6.49948
3, 319.881, 6.50568
3, 124.748, 6.51375
2, 139.076, 6.52531
3, 139.076, 6.52531
2, 228.690, 6.52574
2, 115.661, 6.53968
3, 255.328, 6.58886
3, 175.814, 6.59318
3, 140.793, 6.60074
3, 214.991, 6.60264
2, 244.105, 6.60921
3, 1117.270, 6.63378
3, 189.111, 6.63378
3, 189.129, 6.63639
3, 206.661, 6.63971
2, 136.733, 6.64358
2, 212.690, 6.65425
2, 180.105, 6.66417
2, 308.411, 6.66429
3, 202.065, 6.68699
3, 302.336, 6.71412
3, 260.605, 6.71855
3, 265.266, 6.72684
2, 178.178, 6.75619
3, 511.927, 6.75947
2, 190.869, 6.77979
3, 142.110, 6.78651
2, 586.068, 6.79249
3, 312.940, 6.80403
3, 180.255, 6.80921
2, 395.955, 6.81213
2, 139.588,  6.8299
2, 140.118,  6.8299
3, 139.588,  6.8299
3, 140.118,  6.8299
3, 390.436, 6.83637
2, 197.355, 6.84387
3, 200.121, 6.84488
3, 161.972, 6.85602
3, 181.087, 6.85787
3, 230.381, 6.86313
2, 239.550, 6.87638
2, 252.585, 6.88052
2, 206.614, 6.90467
2, 321.220, 6.91318
3, 228.476, 6.91966
3, 143.516, 6.92072
3, 122.335, 6.93673
3, 208.376, 6.94536
3, 255.123, 6.95237
2, 143.364, 6.95572
3, 120.939, 6.95634
2, 513.965,  6.9627
2, 294.361, 6.97145
2, 177.182, 6.97872
2, 177.580, 6.97939
2, 147.545, 6.98157
2, 224.173, 6.98782
3, 623.085, 6.99494
3, 276.252,  7.0051
2, 199.908, 7.00611
2, 219.467, 7.01358
2, 167.753,  7.0156
3, 195.916,  7.0203
2, 140.887, 7.02478
2, 171.394, 7.03104
2, 300.065, 7.03672
3, 511.111, 7.05362
2, 269.347, 7.06175
3, 120.902, 7.06433
3, 238.233,  7.0655
2, 181.799, 7.06919
2, 1074.149,  7.0799
3, 1074.149,  7.0799
2, 276.679, 7.08523
2, 269.838, 7.08523
2, 330.178, 7.09273
3, 330.178, 7.09273
3, 169.397,  7.1476
3, 151.089, 7.15178
3, 144.500, 7.16431
2, 176.918, 7.17035
3, 267.885, 7.18771
2, 224.005, 7.23051
3, 224.005, 7.23051
3, 222.808, 7.23754
3, 177.161, 7.24777
2, 161.779, 7.25081
3, 161.779, 7.25081
3, 297.894, 7.27115
3, 184.127,  7.2844
2, 201.326, 7.29333
3, 362.798, 7.29492
3, 227.721, 7.30286
2, 233.596,  7.3105
3, 225.429, 7.32544
2, 261.838, 7.32556
3, 180.490, 7.33011
3, 181.163, 7.33011
3, 169.082, 7.33209
2, 471.719, 7.33287
3, 599.605, 7.33612
3, 251.361, 7.34584
3, 202.169, 7.34617
3, 254.741, 7.37168
