beta channel, neutron ToF, beta_time (s)
3, 454.797,  12.182
3, 117.773, 12.3854
2, 133.078, 12.5467
2, 134.539, 12.5467
3, 139.523, 12.5619
2, 143.164, 12.5677
2, 965.727, 12.5677
2, 963.258, 12.5677
2, 135.602, 12.7814
2, 597.914, 12.8793
2, 135.648, 12.8929
3, 142.930, 13.0372
3, 146.414, 13.0372
2, 135.555, 13.1113
3, 117.586, 13.1446
3, 118.781, 13.1446
3, 140.156, 13.2621
3, 140.602, 13.3231
3, 150.984, 13.5428
3, 145.344, 13.5598
2, 141.578, 13.7328
3, 132.336, 13.9677
2, 130.203, 13.9885
2, 139.367, 14.0798
2, 144.242, 14.2706
2, 281.453, 14.4764
2, 138.281, 14.6551
3, 141.266, 14.7058
2, 464.945, 14.7489
2, 142.062, 15.0145
3, 180.617, 15.1078
2, 141.281, 16.3642
2, 139.898, 16.4447
2, 130.219, 16.4447
2, 137.469, 16.4519
2, 138.258,  16.832
2, 139.062, 17.2976
2, 143.039, 17.8299
2, 142.062, 18.0014
2, 140.180, 18.0014
2, 283.867, 18.1248
3, 341.133, 18.5084
2, 190.562, 18.6385
2, 133.805, 18.8035
2, 140.609, 18.8795
2, 120.617, 18.9157
3, 367.656, 19.7194
2, 140.133, 19.7491
3, 141.414, 20.0133
3, 132.102, 20.1558
2, 141.492, 20.6838
2, 119.391, 20.8106
2, 138.844, 20.8348
3, 410.539, 20.8475
2, 139.797, 21.0221
2, 178.352, 21.1149
2, 120.633, 21.3185
2, 137.328, 21.7295
2, 570.461, 21.8494
2, 140.539, 22.0734
2, 120.977, 22.1822
2, 139.906, 22.6638
2, 637.008, 22.7152
2, 328.062, 22.8102
2, 143.938, 23.0406
2, 204.578, 23.1035
3, 140.023, 23.6404
2, 120.117, 23.8164
2, 119.070, 23.8231
3, 140.273, 23.8964
3, 142.852, 23.8964
3, 139.898, 24.0009
2, 138.617, 24.4499
3, 635.625, 25.1059
3, 139.469, 25.3257
3, 528.359, 25.6462
3, 143.664, 25.6473
2, 115.578, 25.6546
3, 253.766, 25.6675
2, 384.531, 25.6823
2, 368.531, 25.6823
3, 191.664, 25.6917
3, 143.203, 25.6928
2, 193.867,  25.708
2, 200.812, 25.7083
2, 197.023, 25.7243
2, 861.938, 25.7333
3, 861.938, 25.7333
3, 217.953, 25.7371
3, 196.336, 25.7371
3, 178.625, 25.7377
3, 383.992, 25.7668
3, 187.422, 25.7763
3, 186.680, 25.7839
2, 319.445, 25.7905
2, 191.828, 25.7979
3, 194.531, 25.8051
2, 242.500, 25.8105
2, 197.211, 25.8208
2, 248.062,  25.827
3, 444.422, 25.8391
3, 122.211, 25.8399
3, 175.219, 25.8413
2, 219.906, 25.8433
2, 212.156, 25.8433
3, 201.305,  25.845
3, 134.805, 25.8454
2, 213.219, 25.8491
2, 219.320, 25.8491
3, 213.219, 25.8491
3, 219.320, 25.8491
3, 200.148, 25.8495
3, 137.164, 25.8585
2, 237.023,  25.861
3, 203.000,  25.866
2, 243.625, 25.8707
2, 246.906, 25.8707
3, 243.625, 25.8707
3, 246.906, 25.8707
2, 224.578, 25.8761
3, 244.828, 25.8846
2, 142.891, 25.8872
3, 200.438, 25.8928
2, 196.992, 25.8937
3, 218.523,  25.897
3, 195.562, 25.9007
3, 223.609,  25.906
2, 146.484,  25.906
3, 197.297, 25.9141
2, 325.688, 25.9205
3, 198.430, 25.9206
2, 206.531, 25.9216
3, 228.672, 25.9217
3, 378.898, 25.9228
2, 196.078, 25.9233
3, 168.523, 25.9245
3, 308.188, 25.9245
2, 382.930, 25.9296
2, 385.023, 25.9296
3, 382.930, 25.9296
3, 385.023, 25.9296
3, 140.734, 25.9347
2, 141.562, 25.9368
3, 195.836, 25.9428
3, 247.977,   25.95
2, 189.219, 25.9588
2, 179.977, 25.9588
2, 153.555, 25.9606
2, 239.977, 25.9607
3, 199.258, 25.9677
2, 259.844, 25.9691
3, 207.867, 25.9715
2, 191.438, 25.9741
3, 184.477, 25.9788
2, 486.555, 25.9801
3, 243.766, 25.9882
3, 318.523, 25.9912
2, 289.750, 25.9926
3, 192.906, 26.0081
3, 559.609, 26.0085
3, 177.391, 26.0088
3, 299.156, 26.0099
2, 275.133, 26.0185
3, 207.469, 26.0202
3, 138.203, 26.0209
3, 248.734, 26.0304
3, 197.719, 26.0343
3, 158.930, 26.0458
3, 141.328, 26.0485
3, 281.867, 26.0518
2, 264.297, 26.0531
3, 193.609, 26.0535
3, 184.234, 26.0578
2, 234.250, 26.0625
3, 253.727, 26.0691
3, 199.938, 26.0751
3, 268.500,  26.076
2, 179.070, 26.0785
3, 201.062, 26.0796
3, 211.914, 26.0843
2, 141.055, 26.0941
2, 184.094, 26.0976
