beta channel, neutron ToF, beta_time (s)
2, 268.691, 5.46597
3, 165.929, 5.46727
2, 163.781, 5.47472
2, 186.028, 5.47472
3, 361.160, 5.48198
2, 121.935, 5.48372
3, 226.726, 5.48382
2, 462.059, 5.48396
3, 346.619, 5.48737
2, 164.724, 5.48741
3, 236.709, 5.48931
2, 183.991, 5.49058
3, 297.608, 5.49687
3, 100.716, 5.49877
3, 171.878, 5.50276
2, 610.500, 5.50603
2, 384.854, 5.51142
2, 391.667, 5.51142
3, 384.854, 5.51142
3, 391.667, 5.51142
2, 171.291, 5.52261
3, 173.815, 5.52699
3, 186.828, 5.53149
2, 188.917, 5.53528
2, 227.855, 5.53553
2, 165.582, 5.55541
3, 176.712, 5.55809
2, 155.329, 5.56524
2, 146.729, 5.56961
2, -128.590, 5.56961
3, 146.729, 5.56961
3, -128.590, 5.56961
2, 157.868,  5.5701
3, 196.321, 5.57026
3, 263.399, 5.57242
3, 122.904, 5.57287
3, 171.654, 5.57375
3, 189.747, 5.57844
2, 146.052, 5.58734
3, 233.985, 5.58779
3, 204.385, 5.58785
3, 171.341, 5.59322
2, 183.290, 5.59394
2, 247.016, 5.60234
3, 125.054, 5.60269
2, 150.585, 5.60608
2, 255.207, 5.60637
2, 181.383, 5.60648
3, 334.854, 5.60711
3, 170.685, 5.60765
3, 167.931, 5.61261
3, 351.687,  5.6147
3, 186.211, 5.61586
3, 185.662, 5.62266
3, 175.061, 5.62266
3, 364.349, 5.62329
3, 117.370, 5.62588
3, 218.875, 5.62971
3, 183.386,  5.6298
2, 148.672,  5.6314
3, 100.091, 5.63522
3, 173.692,  5.6357
3, 206.980, 5.66313
3, 310.921, 5.66439
3, 346.359, 5.66439
3, 189.271, 5.66544
3, 212.936, 5.66712
2, 330.410,  5.6697
2, 186.196, 5.67063
2, 150.753, 5.67695
3, 248.637,  5.6802
3, 167.177, 5.68974
3, 178.892, 5.68999
3, 233.598, 5.69617
3, 228.813, 5.70718
2, 191.253, 5.70899
3, 123.944, 5.71099
3, 106.608, 5.71099
2, 186.110, 5.71482
3, 230.045, 5.71837
3, 180.694, 5.71837
3, 502.614, 5.73536
3, 506.797, 5.73536
2, 178.503, 5.73875
2, 153.678, 5.74797
2, 150.375, 5.74797
3, 143.152, 5.74917
3, 396.270, 5.74962
3,  99.427, 5.75508
3, 209.596, 5.76346
2, 265.428,  5.7698
3, 179.628, 5.77731
2, 439.144, 5.77738
3, 439.144, 5.77738
3, 424.998, 5.77814
3, 173.206, 5.78217
3, 145.579, 5.78745
3, 203.962, 5.78905
3, 172.622, 5.79115
3, 251.523, 5.79393
3, 188.199, 5.79912
2, 168.768,  5.8028
3, 219.448, 5.80307
2, 175.553, 5.80371
3, 101.712, 5.80618
3, 325.872, 5.81173
3, 168.521, 5.81893
2, 260.322, 5.82289
3, 183.283, 5.82478
3, 158.770,  5.8291
3, 157.636,   5.833
3, 165.259,   5.833
3, 169.387, 5.83572
2, 221.828,  5.8377
3, 170.356, 5.84365
2, 138.403, 5.84417
2, 622.150, 5.84613
3,  99.698, 5.84679
3, 110.328, 5.84679
3, 174.267, 5.85257
3, 162.614, 5.85485
